Pais,Ciudad,Mesa,EG,EG_UNTC,EG_MPV,EG_MUD,EG_VTV,NM,NM_PSUV,NM_PCV,NM_TUPAMARO,NM_PPT,NM_MSV,NM_PODEMOS,NM_MEP,NM_APC,NM_ORA,NM_UPV,NM_EV,NM_PVV,NM_PFV,NM_VTV,LM,LM_AD,LM_COPEI,LM_MR,LM_BR,LM_DDP,LM_UNE,LM_VTV,JABE,JABE_EL_CAMBIO,JOBR,JOBR_PV,JOBR_VU,JOBR_UVV,JOBR_MPJ,JOBR_VTV,AE,AE_AP,AE_MOVEV,AE_CMC,AE_FV,AE_LAPIZ,AE_MIN_UNIDAD,AE_VTV,CF,CF_SPV,DC,DC_VPA,DC_AREPA,EM,EM_CENTRADOS,BERA,BERA_CONDE,VOTOS_VALIDOS,VOTOS_NULOS
Alemania,Berlin,1,108,3,3,102,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,138,1
Alemania,Berlin,2,98,6,5,87,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
Alemania,Frankfurt,1,111,4,4,103,0,15,11,1,0,0,0,0,0,0,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,143,0
Alemania,Frankfurt,2,77,6,2,69,1,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
Antigua y Barbuda,St John,1,6,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Argentina,Buenos Aires,1,205,4,12,189,0,15,10,2,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,1
Argentina,Buenos Aires,2,216,9,3,204,0,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1
Argentina,Buenos Aires,3,215,8,8,199,1,16,10,2,2,1,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,251,0
Argentina,Buenos Aires,4,202,7,5,190,2,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,229,0
Argentina,Buenos Aires,5,254,3,10,241,0,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1
Australia,Canberra,1,114,2,7,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0
Australia,Canberra,2,113,5,3,105,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1
Austria,Viena,1,45,1,2,42,0,13,8,1,0,1,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,75,1
Barbados,Bridgetown,1,29,1,0,28,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
Bélgica,Bruselas,1,129,1,7,121,1,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,161,1
Bolivia,La Paz,1,15,0,1,14,0,17,14,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Brasil,Brasilia,1,12,0,1,11,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
Brasil,Brasilia,2,9,0,0,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
Chile,Santiago ,1,282,11,10,261,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
Chile,Santiago ,2,281,11,6,264,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,297,1
Chile,Santiago ,3,275,9,4,262,0,10,7,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,300,7
Chile,Santiago ,4,281,10,5,266,0,10,8,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,305,8
Chile,Santiago ,5,273,9,10,254,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,4
Colombia,Barranquilla,1,40,4,3,33,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2
Colombia,Bogotá,1,143,4,4,135,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0
Colombia,Bogotá,2,129,4,9,116,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,137,0
Colombia,Bogotá,3,153,8,6,139,0,7,5,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0
Colombia,Bogotá,4,147,6,8,133,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0
Colombia,Bogotá,5,155,4,11,140,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
Colombia,Bogotá,6,135,6,6,123,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0
Colombia,Bogotá,7,143,6,7,130,2,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
Colombia,Bogotá,8,198,9,15,174,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,1
Colombia,Cartagena,1,17,3,14,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
